ds,y,rolling_7d_mean,rolling_30d_mean,rolling_7d_std,lag_1,lag_7,lag_30
2022-01-01,36533.84,36533.84,36533.84,0.0,36533.84,36533.84,36533.84
2022-01-02,28745.620000000003,32639.73,32639.73,5507.103175372688,36533.84,36533.84,36533.84
2022-01-03,25048.329999999998,30109.263333333332,30109.263333333332,5862.923958694443,28745.620000000003,36533.84,36533.84
2022-01-04,29804.02,30032.9525,30032.9525,4789.4897017766925,25048.329999999998,36533.84,36533.84
2022-01-05,31584.78,30343.318,30343.318,4205.477668531839,29804.02,36533.84,36533.84
2022-01-06,29513.49,30205.013333333332,30205.013333333332,3776.7185520431176,31584.78,36533.84,36533.84
2022-01-07,25097.82,29475.414285714283,29475.414285714283,3951.2705859164553,29513.49,36533.84,36533.84
2022-01-08,20504.93,27185.57,28354.10375,3821.4251757950196,25097.82,36533.84,36533.84
2022-01-09,30888.879999999997,27491.75,28635.745555555553,4046.4854679091577,20504.93,28745.620000000003,36533.84
2022-01-10,27517.23,27844.45,28523.894,3903.0721821833286,30888.879999999997,25048.329999999998,36533.84
2022-01-11,32869.17,28282.32857142857,28918.91909090909,4310.250722527358,27517.23,29804.02,36533.84
2022-01-12,29117.32,27929.834285714285,28935.4525,4090.4528568316123,32869.17,31584.78,36533.84
2022-01-13,27466.36,27637.387142857147,28822.445384615385,4031.1080593376723,29117.32,29513.49,36533.84
2022-01-14,31300.16,28523.43571428571,28999.425,4061.4021049749845,27466.36,25097.82,36533.84
2022-01-15,19002.41,28308.79,28332.957333333332,4564.371253400261,31300.16,20504.93,36533.84
2022-01-16,19421.6,26670.60714285714,27775.997499999998,5454.977693311294,19002.41,30888.879999999997,36533.84
2022-01-17,27110.989999999998,26612.572857142855,27736.879411764705,5446.624042431281,19421.6,27517.23,36533.84
2022-01-18,26658.19,25725.29,27676.952222222222,4714.171150075058,27110.989999999998,32869.17,36533.84
2022-01-19,26186.48,25306.59857142857,27598.506315789473,4487.392875265207,26658.19,29117.32,36533.84
2022-01-20,33815.56,26213.627142857145,27909.358999999997,5519.648513277253,26186.48,27466.36,36533.84
2022-01-21,24295.36,25212.941428571427,27737.26380952381,5059.585742164498,33815.56,31300.16,36533.84
2022-01-22,21125.9,25516.297142857144,27436.74727272727,4674.1395194150045,24295.36,19002.41,36533.84
2022-01-23,21735.1,25846.79714285714,27188.84956521739,4232.276540699712,21125.9,19421.6,36533.84
2022-01-24,25983.76,25685.764285714286,27138.637499999997,4197.460392474862,21735.1,27110.989999999998,36533.84
2022-01-25,24512.13,25379.184285714287,27033.577199999996,4192.968500366046,25983.76,26658.19,36533.84
2022-01-26,26372.71,25405.78857142857,27008.15923076923,4199.530162785785,24512.13,26186.48,36533.84
2022-01-27,15116.68,22734.519999999997,26567.734074074073,3894.6136046639217,26372.71,33815.56,36533.84
2022-01-28,28258.13,23300.63,26628.105357142857,4412.8368233975425,15116.68,24295.36,36533.84
2022-01-29,21011.3,23284.25857142857,26434.422413793105,4422.451772676283,28258.13,21125.9,36533.84
2022-01-30,23745.26,23571.424285714285,26344.783666666666,4370.046893252812,21011.3,21735.1,36533.84
2022-01-31,27002.72,23716.989999999998,26027.07966666667,4479.396539259872,23745.26,25983.76,36533.84
2022-02-01,27741.98,24178.397142857142,25993.625,4734.0606452203165,27002.72,24512.13,28745.620000000003
2022-02-02,26292.58,24166.95,26035.1,4727.963341203764,27741.98,26372.71,25048.329999999998
2022-02-03,30909.79,26423.108571428573,26071.958999999995,3215.809069562582,26292.58,15116.68,29804.02
2022-02-04,27612.55,26330.882857142857,25939.551333333333,3163.239268622775,30909.79,28258.13,31584.78
2022-02-05,19265.04,26081.417142857146,25597.936333333335,3679.425623946915,27612.55,21011.3,29513.49
2022-02-06,29033.41,26836.867142857143,25729.122666666666,3662.666065585352,19265.04,23745.26,25097.82
2022-02-07,23922.44,26396.827142857142,25843.039666666667,3821.0310178786144,29033.41,27002.72,20504.93
2022-02-08,28335.45,26481.608571428573,25757.925333333333,3862.213859439638,23922.44,27741.98,30888.879999999997
2022-02-09,22700.36,25968.434285714287,25597.363,4121.465140007282,28335.45,26292.58,27517.23
2022-02-10,31608.39,26068.234285714287,25555.337,4266.951161461217,22700.36,30909.79,32869.17
2022-02-11,30290.48,26450.795714285716,25594.442333333332,4539.809254542372,31608.39,27612.55,29117.32
2022-02-12,29352.72,27891.89285714286,25657.321,3314.3114155216563,30290.48,19265.04,27466.36
2022-02-13,33382.31,28513.164285714283,25726.726000000002,3916.795728095684,29352.72,29033.41,31300.16
2022-02-14,23644.42,28473.447142857145,25881.45966666667,3972.123947922216,33382.31,23922.44,19002.41
2022-02-15,30267.16,28749.40571428571,26242.978333333333,4027.652389344849,23644.42,28335.45,19421.6
2022-02-16,30710.64,29893.731428571427,26362.966666666667,3039.216431464037,30267.16,22700.36,27110.989999999998
2022-02-17,27864.83,29358.93714285714,26403.188000000002,3016.4927647226086,30710.64,31608.39,26658.19
2022-02-18,22359.44,28225.931428571428,26275.62,3952.523373653973,27864.83,30290.48,26186.48
2022-02-19,25693.45,27703.178571428572,26004.882999999998,4020.0655460967687,22359.44,29352.72,33815.56
2022-02-20,25694.260000000002,26604.885714285716,26051.512999999995,3170.3062841722276,25693.45,33382.31,24295.36
2022-02-21,30159.42,27535.600000000002,26352.630333333334,3112.1215910318615,25694.260000000002,23644.42,21125.9
2022-02-22,23236.34,26531.197142857145,26402.671666666665,3216.4225883773133,30159.42,30267.16,21735.1
2022-02-23,23465.96,25496.242857142857,26318.745000000003,2783.9501053162708,23236.34,30710.64,25983.76
2022-02-24,30037.71,25806.65428571429,26502.931,3184.4021182625847,23465.96,27864.83,24512.13
2022-02-25,27328.96,26516.585714285717,26534.805999999997,2821.010783034202,30037.71,22359.44,26372.71
2022-02-26,36955.52,28125.452857142856,27262.767333333333,4794.497423466178,27328.96,25693.45,15116.68
2022-02-27,23984.28,27881.169999999995,27120.305666666667,4979.024810572851,36955.52,25694.260000000002,28258.13
2022-02-28,41017.9,29432.381428571425,27787.192333333332,7062.6196997913585,23984.28,30159.42,21011.3
2022-03-01,21789.8,29225.73285714286,27722.01033333333,7291.579369685544,41017.9,23236.34,23745.26
2022-03-02,27946.57,29865.82,27753.472,6887.1386368917165,21789.8,23465.96,27002.72
2022-03-03,26201.100000000002,29317.73285714286,27702.109333333334,7022.51025293832,27946.57,30037.71,27741.98
2022-03-04,42757.4,31521.795714285716,28250.936666666665,8549.445258822074,26201.100000000002,27328.96,26292.58
2022-03-05,35819.63,31359.52571428571,28414.598,8439.192146028863,42757.4,36955.52,30909.79
2022-03-06,33892.15,32774.93571428572,28623.917999999998,7802.948402317458,35819.63,23984.28,27612.55
2022-03-07,20126.0,29790.378571428573,28652.61666666666,8113.898238322169,33892.15,41017.9,19265.04
2022-03-08,22298.32,29863.024285714284,28428.113666666668,8032.193661474339,20126.0,21789.8,29033.41
2022-03-09,25416.44,29501.57714285714,28477.913666666664,8188.219348691781,22298.32,27946.57,23922.44
2022-03-10,25387.24,29385.311428571433,28379.64,8248.450494427076,25416.44,26201.100000000002,28335.45
2022-03-11,29295.09,27462.124285714286,28599.464333333333,5824.180328495036,25387.24,42757.4,22700.36
2022-03-12,28154.63,26367.124285714286,28484.339,4578.299291093641,29295.09,35819.63,31608.39
2022-03-13,27472.72,25450.062857142857,28390.413666666667,3278.065095686342,28154.63,33892.15,30290.48
2022-03-14,22402.57,25775.287142857145,28158.741999999995,2728.7187525999157,27472.72,20126.0,29352.72
2022-03-15,36249.14,27768.261428571426,28254.303,4368.1442249671945,22402.57,22298.32,33382.31
2022-03-16,30266.52,28461.13,28475.039666666664,4317.288263049693,36249.14,25416.44,23644.42
2022-03-17,18583.850000000002,27489.217142857142,28085.596,5676.46348135208,30266.52,25387.24,30267.16
2022-03-18,22628.63,26536.865714285716,27816.195666666667,5878.615820970261,18583.850000000002,29295.09,30710.64
2022-03-19,23383.64,25855.295714285716,27666.822666666663,5936.085288164401,22628.63,28154.63,27864.83
2022-03-20,28184.41,25956.965714285714,27860.988333333335,5974.375920040674,23383.64,27472.72,22359.44
2022-03-21,37291.94,28084.018571428573,28247.604666666666,7051.435338145533,28184.41,22402.57,25693.45
