StockCode,Description,avg_daily_demand,std_daily_demand,max_daily_demand,total_qty_sold,days_with_sales,demand_variability,total_revenue,safety_stock,reorder_point,eoq,simulated_current_stock,stock_status,priority_score
SC9399,Tool Y,19.5,26.16295090390226,38,39,2,1.3416897892556596,11528.19,114.0,250.0,844.0,702.0,🟢 OK,1.0
SC9521,Widget B,14.5,14.849242404917497,25,29,2,1.0240856823914923,11665.39,65.0,166.0,727.0,522.0,🟢 OK,2.0
SC3571,Gadget X,25.0,33.94112549695428,49,50,2,1.357645019335113,9740.32,148.0,323.0,955.0,900.0,🟢 OK,3.0
SC5258,Widget B,27.333333333333332,24.00694344004112,48,82,3,0.8783028084606619,11923.289999999999,105.0,296.0,999.0,984.0,🟢 OK,4.0
SC7303,Item Beta,18.5,24.748737341529164,36,37,2,1.3377695853054847,9470.310000000001,108.0,238.0,822.0,666.0,🟢 OK,5.0
SC2432,Widget A,19.0,16.97056274847714,31,38,2,0.8931875126076454,11624.73,74.0,207.0,833.0,684.0,🟢 OK,6.0
SC8816,Widget A,21.666666666666668,14.742229591663987,33,65,3,0.6804105962243021,13067.49,64.0,216.0,889.0,780.0,🟢 OK,7.0
SC8210,Widget A,25.0,28.284271247461902,45,50,2,1.1313708494459278,10229.39,123.0,298.0,955.0,900.0,🟢 OK,8.0
SC9037,Gadget X,20.0,19.407902170679517,49,80,4,0.9703951080487783,10924.53,85.0,225.0,854.0,720.0,🟢 OK,9.0
SC9995,Item Alpha,23.666666666666668,23.007245235649865,47,71,3,0.9721371222223306,10595.14,100.0,266.0,929.0,852.0,🟢 OK,10.0
SC5237,Product Z,18.666666666666668,19.139836293274122,39,56,3,1.025348372304677,10254.220000000001,84.0,215.0,825.0,672.0,🟢 OK,11.0
SC6612,Item Beta,14.5,13.435028842544403,24,29,2,0.9265537126399217,10484.460000000001,59.0,160.0,727.0,522.0,🟢 OK,12.0
SC9521,Item Beta,33.666666666666664,24.006943440041116,49,101,3,0.7130775277102082,11665.39,105.0,341.0,1109.0,1212.0,🟢 OK,13.0
SC5373,Item Alpha,20.0,26.870057685088806,39,40,2,1.3435028835826888,8494.68,117.0,257.0,854.0,720.0,🟢 OK,14.0
SC2699,Widget B,27.0,16.97056274847714,39,54,2,0.6285393608219165,12102.58,74.0,263.0,993.0,972.0,🟢 OK,15.0
SC1227,Widget A,22.75,20.139099615755747,41,91,4,0.8852351475561931,10432.31,88.0,247.0,911.0,819.0,🟢 OK,16.0
SC6461,Gadget X,17.666666666666668,21.22105872319601,42,53,3,1.201192002519854,8871.03,93.0,217.0,803.0,636.0,🟢 OK,17.0
SC6819,Product Z,19.5,16.263455967290593,31,39,2,0.8340233825102747,10616.39,71.0,208.0,844.0,702.0,🟢 OK,18.0
SC6237,Widget A,21.0,24.041630560342615,38,42,2,1.1448395499473438,9073.119999999999,105.0,252.0,875.0,756.0,🟢 OK,19.0
SC1281,Gadget X,25.5,28.991378028648448,46,51,2,1.1369167849913442,9023.32,127.0,306.0,965.0,918.0,🟢 OK,20.0
SC4777,Item Beta,21.333333333333332,22.27853974867593,47,64,3,1.0443065502296656,9427.16,97.0,246.0,882.0,768.0,🟢 OK,21.0
